16 Left,16 Right,19 Left,19 Right,16 Length,19 Length,dL
4000000000,5000000000,2000000000,2000000000,131075,131073,2
10000000000,11000000000,5000000000,6000000000,212995,212993,2
13000000000,21000000000,7000000000,10000000000,262147,262145,2
26000000000,28000000000,14000000000,14000000000,294915,294913,2
36000000000,37000000000,19000000000,19000000000,376835,376833,2
39000000000,47000000000,20000000000,24000000000,425987,425985,2
49000000000,50000000000,25000000000,25000000000,475139,475137,2
52000000000,85000000000,27000000000,43000000000,524291,524289,2
93000000000,95000000000,47000000000,48000000000,557059,557057,2
103000000000,115000000000,53000000000,58000000000,589827,589825,2
125000000000,127000000000,64000000000,64000000000,622595,622593,2
139000000000,140000000000,71000000000,71000000000,704515,704513,2
142000000000,150000000000,72000000000,76000000000,753667,753665,2
152000000000,153000000000,77000000000,77000000000,802819,802817,2
155000000000,188000000000,79000000000,95000000000,851971,851969,2
190000000000,191000000000,97000000000,97000000000,901123,901121,2
193000000000,201000000000,99000000000,102000000000,950275,950273,2
203000000000,204000000000,103000000000,104000000000,999427,999425,2
206000000000,343000000000,105000000000,173000000000,1048579,1048577,2
354000000000,357000000000,180000000000,180000000000,1081347,1081345,2
369000000000,381000000000,187000000000,193000000000,1114115,1114113,2
395000000000,397000000000,200000000000,201000000000,1146883,1146881,2
412000000000,463000000000,209000000000,234000000000,1179651,1179649,2
479000000000,481000000000,243000000000,243000000000,1212419,1212417,2
498000000000,510000000000,252000000000,258000000000,1245187,1245185,2
528000000000,530000000000,268000000000,268000000000,1277955,1277953,2
551000000000,552000000000,279000000000,279000000000,1359875,1359873,2
554000000000,561000000000,281000000000,284000000000,1409027,1409025,2
563000000000,565000000000,286000000000,286000000000,1458179,1458177,2
567000000000,600000000000,287000000000,304000000000,1507331,1507329,2
602000000000,603000000000,305000000000,305000000000,1556483,1556481,2
605000000000,613000000000,307000000000,310000000000,1605635,1605633,2
615000000000,616000000000,312000000000,312000000000,1654787,1654785,2
618000000000,754000000000,313000000000,382000000000,1703939,1703937,2
756000000000,758000000000,383000000000,383000000000,1753091,1753089,2
760000000000,767000000000,385000000000,388000000000,1802243,1802241,2
769000000000,770000000000,390000000000,390000000000,1851395,1851393,2
773000000000,806000000000,391000000000,408000000000,1900547,1900545,2
808000000000,809000000000,409000000000,409000000000,1949699,1949697,2
811000000000,819000000000,411000000000,414000000000,1998851,1998849,2
821000000000,822000000000,416000000000,416000000000,2048003,2048001,2
824000000000,1372000000000,417000000000,693000000000,2097155,2097153,2
1393000000000,1395000000000,704000000000,704000000000,2129923,2129921,2
1416000000000,1428000000000,715000000000,721000000000,2162691,2162689,2
1451000000000,1453000000000,733000000000,733000000000,2195459,2195457,2
1476000000000,1527000000000,746000000000,771000000000,2228227,2228225,2
1551000000000,1554000000000,784000000000,784000000000,2260995,2260993,2
1579000000000,1591000000000,798000000000,803000000000,2293763,2293761,2
1618000000000,1620000000000,817000000000,818000000000,2326531,2326529,2
1648000000000,1853000000000,832000000000,935000000000,2359299,2359297,2
1882000000000,1884000000000,950000000000,951000000000,2392067,2392065,2
1914000000000,1926000000000,967000000000,972000000000,2424835,2424833,2
1957000000000,1959000000000,988000000000,989000000000,2457603,2457601,2
1991000000000,>2000000000000,1006000000000,1031000000000,2490371,2490369,2
